"geoid","income_recode","size_recode","ipf"
"11001009905",3,2,19
"11001009905",4,2,12
"11001009905",5,2,60
"11001009905",6,2,37
"11001009905",7,2,56
"11001009905",8,2,19
"11001009905",9,2,13
"11001009905",1,3,80
"11001009905",2,3,48
"11001009905",3,3,21
"11001009905",4,3,14
"11001009905",5,3,29
"11001009905",6,3,24
"11001009905",7,3,26
"11001009905",8,3,11
"11001009905",9,3,9
"11001009905",1,4,69
"11001009905",2,4,39
"11001009905",3,4,10
"11001009905",4,4,5
"11001009905",5,4,25
"11001009905",6,4,15
"11001009905",7,4,14
"11001009905",8,4,5
"11001009905",9,4,5
"11001009905",1,5,8
"11001009905",2,5,3
"11001009905",3,5,1
"11001009905",4,5,2
"11001009905",5,5,4
"11001009905",6,5,5
"11001009905",7,5,4
"11001009905",8,5,4
"11001009905",9,5,3
"11001009904",1,1,107
"11001009904",2,1,38
"11001009904",3,1,19
"11001009904",4,1,44
"11001009904",5,1,57
"11001009904",6,1,83
"11001009904",7,1,111
"11001009904",8,1,12
"11001009904",9,1,72
"11001009904",1,2,47
"11001009904",2,2,11
"11001009904",3,2,13
"11001009904",4,2,20
"11001009904",5,2,22
"11001009904",6,2,31
"11001009904",7,2,53
"11001009904",8,2,8
"11001009904",9,2,18
"11001009904",1,3,51
"11001009904",2,3,7
"11001009904",3,3,16
"11001009904",4,3,38
"11001009904",5,3,9
"11001009904",6,3,23
"11001009904",7,3,30
"11001009904",8,3,5
"11001009904",9,3,14
"11001009904",1,4,33
"11001009904",2,4,3
"11001009904",3,4,6
"11001009904",4,4,15
"11001009904",5,4,6
"11001009904",6,4,13
"11001009904",7,4,16
"11001009904",8,4,2
"11001009904",9,4,8
"11001009904",1,5,70
"11001009904",2,5,3
"11001009904",3,5,5
"11001009904",4,5,48
"11001009904",5,5,6
"11001009904",6,5,18
"11001009904",7,5,16
"11001009904",8,5,3
"11001009904",9,5,8
"11001009903",1,1,7
"11001009903",2,1,13
"11001009903",3,1,5
"11001009903",4,1,5
"11001009903",5,1,29
"11001009903",6,1,5
"11001009903",7,1,30
"11001009903",8,1,12
"11001009903",9,1,50
